Date,Open,High,Low,Close,Adj Close,Volume
10/11/2018,60.5425,61.889999,58.564999,58.782501,58.36541,72543600
10/12/2018,61.377499,62.384998,59.912498,61.634998,61.19767,60823600
10/15/2018,61.5,61.5,58.834999,58.845001,58.427464,44976000
10/16/2018,59.982498,61.57,59.485001,61.4575,61.021423,40871200
10/17/2018,62.084999,62.470001,60.27,60.764999,60.333832,32966800
10/18/2018,61.465,61.852501,59.272499,59.8825,59.457596,52402000
10/19/2018,60.439999,60.637501,56.924999,57.2925,56.885983,61360800
10/22/2018,57.82,58.830002,56.767502,57.805,57.394836,36884400
10/23/2018,55.107498,56.047501,54.177502,55.264999,54.872852,62643600
10/24/2018,54.877499,55.3475,49.712502,49.852501,49.498768,88428800
10/25/2018,48.8675,52.4375,48.419998,51.959999,51.591312,95172000
10/26/2018,49.577499,51.209999,48.279999,49.572498,49.220753,66478400
10/29/2018,50.997501,51.032501,44.002499,46.404999,46.075729,75801600
10/30/2018,46.637501,50.849998,46.404999,50.75,50.389904,80719200
10/31/2018,52.412498,53.147499,51.002499,52.7075,52.333504,74577200
11/1/2018,53.075001,54.622501,51.797501,54.5275,54.140591,56652800
11/2/2018,54.432499,55.5,52.552502,53.73,53.348755,45296000
11/5/2018,53.5975,53.8325,51.32,52.942501,52.566837,37933200
11/6/2018,52.862499,53.712502,52.389999,52.764999,52.390602,29901200
11/7/2018,53.4375,54.352501,52.794998,53.447498,53.068256,48381200
11/8/2018,52.849998,52.857498,50.9575,51.497501,51.132099,51135200
11/9/2018,50.599998,52.330002,50.259998,51.4175,51.052662,41324000
11/12/2018,50.494999,50.717499,47.165001,47.384998,47.048775,61711600
11/13/2018,48.372501,51.052502,48.310001,49.827499,49.473946,64471200
11/14/2018,51.575001,51.720001,48.2075,49.297501,48.947704,52658000
11/15/2018,49.237499,51.325001,48.875,50.5975,50.238483,84070800
11/16/2018,40.830002,42.665001,40.4025,41.107498,40.815819,196352000
11/19/2018,40.447498,40.455002,36.157501,36.174999,35.918316,169782000
11/20/2018,33.514999,38.564999,33.327499,37.27,37.00555,169203200
11/21/2018,38.654999,38.825001,35.9025,36.177502,35.920799,102549600
11/23/2018,35.827499,37.397499,35.697498,36.25,35.992786,41196800
11/26/2018,37.4725,38.3675,36.639999,38.262501,37.991005,81483200
11/27/2018,38,39.252499,37.637501,38.432499,38.15979,73806000
11/28/2018,39.619999,40.07,38.282501,40.017502,39.733551,80452400
11/29/2018,40,40.375,39.035,39.34,39.099941,54917200
11/30/2018,39.4375,40.965,38.93,40.857498,40.608181,72956400
12/3/2018,43.150002,43.669998,41.834999,42.509998,42.250599,89080400
12/4/2018,42.060001,42.110001,39.125,39.2775,39.037819,81211200
12/6/2018,37.860001,39.622501,37.702499,39.572498,39.33102,69230800
12/7/2018,39.615002,39.717499,36.404999,36.9025,36.677319,68167600
12/10/2018,36.450001,38.215,36.412498,37.965,37.733334,62947200
12/11/2018,38.889999,38.9725,36.25,37.047501,36.821426,67191200
12/12/2018,37.105,38.195,36.205002,37.224998,36.997849,65413600
12/13/2018,37.697498,38.345001,36.860001,37.2225,36.995365,47138400
12/14/2018,36.802502,37.647499,36.375,36.612499,36.389076,47182000
12/17/2018,36.310001,37.037498,35.310001,35.895,35.675961,66286800
12/18/2018,36.337502,37.5825,36.0625,36.735001,36.510838,56437200
12/19/2018,36.395,36.935001,34.107498,34.627499,34.416195,74536400
12/20/2018,34.5425,35.450001,33.172501,33.775002,33.568901,74958800
12/21/2018,34.0425,34.375,32.115002,32.392502,32.194836,86374000
12/24/2018,31.622499,32.494999,31.125,31.77,31.576138,46384000
12/26/2018,32.235001,33.285,31.115,33.275002,33.071949,69510000
12/27/2018,32.747501,33.095001,31.295,32.7925,32.5924,63704400
12/28/2018,33,34.3475,32.577499,33.412498,33.208611,62872800
12/31/2018,33.849998,34.177502,33.064999,33.375,33.171337,46514000
1/2/2019,32.66,34.619999,32.512501,34.055,33.847198,50875200
1/3/2019,33.447498,33.790001,31.922501,31.997499,31.802248,70555200
1/4/2019,32.735001,34.432499,32.424999,34.047501,33.839737,58562000
1/7/2019,34.625,36.2225,34.107498,35.849998,35.631237,70916000
1/8/2019,36.672501,36.695,34.224998,34.9575,34.744186,78601600
1/9/2019,35.474998,36.122501,34.965,35.645,35.427483,61726000
1/10/2019,35.450001,36.395,34.84,36.307499,36.085945,52315600
1/11/2019,36.0825,37.4375,35.802502,37.2075,36.980453,87476400
1/14/2019,36.68,37.865002,36.442501,37.610001,37.380501,73016800
1/15/2019,37.939999,38.337502,37.282501,37.467499,37.238873,61701200
1/16/2019,37.7425,38.075001,37.154999,37.209999,36.982941,47010400
1/17/2019,36.877499,38.3325,36.602501,37.93,37.698547,49343600
1/18/2019,38.432499,39.494999,37.912498,39.232498,38.993095,65133600
1/22/2019,38.927502,39.044998,36.887501,37.192501,36.965549,66155200
1/23/2019,37.75,38.645,37.0075,37.322498,37.094753,59102000
1/24/2019,38.174999,39.637501,38.127499,39.459999,39.219212,70897200
1/25/2019,38.860001,40.220001,37.825001,40.037498,39.793182,115457200
1/28/2019,34.137501,35.41,32.75,34.502499,34.291962,251152800
1/29/2019,34.037498,34.525002,32.752499,32.900002,32.699238,115393200
1/30/2019,33.6675,34.4925,32.865002,34.3475,34.137905,97422800
1/31/2019,34.314999,36.297501,34.095001,35.9375,35.718204,84285200
2/1/2019,36.125,36.697498,35.645,36.182499,35.961708,62504800
2/4/2019,36.342499,37.669998,36.119999,37.294998,37.067417,52859200
2/5/2019,37.415001,37.857498,37.075001,37.487499,37.258743,54242400
2/6/2019,37.822498,38.900002,37.767502,38.25,38.016594,70246400
2/7/2019,37.782501,37.805,36.422501,36.855,36.630108,63712000
2/8/2019,36.177502,37.150002,36.032501,37.0425,36.81646,46160400
2/11/2019,36.5975,37.145,36.125,36.612499,36.389076,49518000
2/12/2019,37,37.950001,36.855,37.7925,37.561886,59106000
2/13/2019,38.09,38.9575,37.952499,38.220001,37.986774,60537200
2/14/2019,38.209999,38.9175,37.775002,38.6325,38.396763,82726400
2/15/2019,40.737499,40.967499,39.105,39.334999,39.094975,151674800
2/19/2019,39.227501,39.9725,39.035,39.16,38.921043,55189200
2/20/2019,39.455002,40.314999,39.342499,39.637501,39.39563,54098800
2/21/2019,39.764999,40.012501,38.794998,38.942501,38.704872,44854800
2/22/2019,39.465,39.987499,39.327499,39.797501,39.554653,40174000
2/25/2019,40.639999,41.32,39.584999,39.672501,39.430408,65602000
2/26/2019,39.625,40.189999,38.9375,39.275002,39.035343,48846400
2/27/2019,39.130001,39.397499,38.2775,38.852501,38.615417,50025600
2/28/2019,38.75,38.974998,38.34,38.564999,38.369175,32494400
3/1/2019,39.067501,39.537498,38.48,39.112499,38.913891,35718800
3/4/2019,39.5,39.73,38.625,39.195,38.995972,40999200
3/5/2019,39.037498,39.514999,38.490002,39.130001,38.931305,36292400
3/6/2019,39.040001,39.125,37.985001,38.012501,37.819481,40352400
3/7/2019,37.775002,37.872501,36.849998,37.314999,37.125519,45010400
3/8/2019,36.415001,37.767502,36.200001,37.66,37.468769,42241600
3/11/2019,37.897499,40.514999,37.422501,40.285,40.080444,85972800
3/12/2019,40.564999,41.0975,39.797501,40.630001,40.423691,57957600
3/13/2019,41.0075,42.450001,40.932499,42.154999,41.940945,76890000
3/14/2019,42.247501,42.3675,41.3125,41.389999,41.179832,51938400
3/15/2019,41.825001,42.8825,41.790001,42.452499,42.236938,66148400
3/18/2019,42.77,43.3125,41.965,42.237499,42.023022,48699200
3/19/2019,43.189999,44.375,43.02,43.927502,43.704449,85497200
3/20/2019,44.220001,44.7575,43.25,43.599998,43.378609,71914800
3/21/2019,43.8325,46.25,43.782501,45.985001,45.751499,82431200
3/22/2019,45.709999,46.200001,44.235001,44.375,44.149673,74764400
3/25/2019,43.965,44.612499,42.7775,43.445,43.224388,52521200
3/26/2019,44.872501,45.4375,43.650002,44.217499,43.99297,70350800
3/27/2019,44.474998,44.942501,43.424999,44.125,43.900944,47437200
3/28/2019,44.387501,44.974998,43.7775,44.3125,44.08749,48026400
3/29/2019,44.985001,45.134998,44.477501,44.889999,44.662056,45689600
4/1/2019,45.814999,45.875,45.092499,45.57,45.338604,48382400
4/2/2019,45.8125,46.197498,45.380001,45.75,45.517696,44092000
4/3/2019,46.25,47.75,46.200001,47.154999,46.915558,78350400
4/4/2019,47,47.4925,46.432499,47.064999,46.826012,45737600
4/5/2019,47.5,47.912498,47.1325,47.737499,47.495094,48174400
4/8/2019,47.43,48.200001,47.1875,47.947498,47.704033,42419200
4/9/2019,47.610001,47.7225,46.889999,47.314999,47.074741,43997200
4/10/2019,47.307499,48.285,47.262501,48.025002,47.781143,44477200
4/11/2019,48.049999,48.3675,47.387501,47.884998,47.64185,37460000
4/12/2019,48.275002,48.314999,47.415001,47.502499,47.261292,47170800
4/15/2019,47.424999,47.474998,45.775002,46.174999,45.940529,44009200
4/16/2019,46.57,47.2425,46.240002,47.052502,46.81358,39496400
4/17/2019,47.404999,47.615002,46.5975,46.822498,46.584747,35100400
4/18/2019,46.889999,47.232498,46.294998,46.575001,46.338505,38098800
4/22/2019,46.337502,47.275002,46.02,47.1175,46.87825,27993600
4/23/2019,47.25,47.982498,47.1525,47.6675,47.425453,34685600
4/24/2019,47.772499,48.202499,47.16,47.7925,47.54982,31820400
4/25/2019,47.387501,47.612499,45.924999,46.727501,46.490231,49929600
4/26/2019,45.177502,45.2225,43.325001,44.522499,44.296421,86898800
4/29/2019,44.602501,45.112499,43.875,44.8325,44.604851,39192000
4/30/2019,44.5075,45.5075,44.314999,45.25,45.020233,36292000
5/1/2019,45.7775,46.202499,45.115002,45.1175,44.888401,35428000
5/2/2019,45.215,46.217499,44.779999,45.797501,45.564941,39468400
5/3/2019,45.8825,45.982498,45.1325,45.752499,45.52018,33682400
5/6/2019,43.875,45.084999,43.5,44.962502,44.734188,42217600
5/7/2019,44.474998,44.474998,42.7925,43.2775,43.057747,55522000
5/8/2019,43,44.287498,42.880001,43.48,43.259212,41916800
5/9/2019,42.785,42.8825,41.349998,42.547501,42.331448,66024800
5/10/2019,42.237499,42.897499,41,42.205002,41.990696,56950000
5/13/2019,40.875,41.107498,39.452499,39.612499,39.411358,65691200
5/14/2019,40.012501,40.865002,39.622501,40.509998,40.304302,52488000
5/15/2019,39.950001,40.262501,39.352501,39.895,39.692417,50232000
5/16/2019,39.84,40.477501,39.412498,40.047501,39.844151,78108800
5/17/2019,39.625,40.927502,38.735001,39.1325,38.933788,102206800
5/20/2019,38.137501,38.692501,37.6875,37.9375,37.744858,57206400
5/21/2019,38.549999,38.924999,38.16,38.764999,38.568157,36184800
5/22/2019,38.375,38.637501,37.939999,38.049999,37.856789,32586800
5/23/2019,37.422501,37.422501,36.227501,36.830002,36.642982,59184400
5/24/2019,37.02,37.375,36.220001,36.287498,36.103237,35758400
5/28/2019,36.465,36.794998,35.8125,35.8325,35.650547,42835600
